Start time:      6/24/2022 11:29:03 PM

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 0.0,	      11,	  1008.2,	    26.6,	    77.0,	     0.8,	   250.0,	       0
 0.9,	      18,	  1007.4,	    26.8,	    79.6,	     0.8,	   211.3,	     455
 1.9,	      22,	  1006.9,	    26.8,	    79.8,	     0.9,	   197.9,	     245
 2.9,	      26,	  1006.5,	    26.8,	    79.8,	     1.0,	   193.4,	     217
 3.9,	      31,	  1005.9,	    26.7,	    79.5,	     1.1,	   192.1,	     330
 4.9,	      37,	  1005.2,	    26.8,	    79.2,	     1.2,	   191.2,	     355
 5.9,	      44,	  1004.4,	    26.7,	    79.0,	     1.2,	   190.1,	     407
 6.9,	      50,	  1003.8,	    26.6,	    79.0,	     1.3,	   188.6,	     346
 7.9,	      56,	  1003.2,	    26.5,	    79.2,	     1.3,	   186.9,	     401
 8.9,	      61,	  1002.6,	    26.4,	    79.4,	     1.4,	   185.2,	     275
 9.9,	      66,	  1002.0,	    26.4,	    79.6,	     1.4,	   183.3,	     289
10.9,	      71,	  1001.4,	    26.3,	    79.7,	     1.5,	   181.4,	     312
11.9,	      77,	  1000.8,	    26.3,	    79.6,	     1.5,	   179.4,	     342
12.9,	      82,	  1000.2,	    26.3,	    79.7,	     1.6,	   177.4,	     315
13.9,	      86,	   999.7,	    26.2,	    79.9,	     1.6,	   175.4,	     265
14.9,	      92,	   999.1,	    26.2,	    80.1,	     1.6,	   173.3,	     321
15.9,	      95,	   998.5,	    26.1,	    80.2,	     1.7,	   171.3,	     215
16.9,	      99,	   998.0,	    26.1,	    80.2,	     1.7,	   169.2,	     226
17.9,	     106,	   997.4,	    26.0,	    80.4,	     1.7,	   167.1,	     410
18.9,	     111,	   996.9,	    26.0,	    80.5,	     1.8,	   165.0,	     313
19.9,	     115,	   996.3,	    26.0,	    80.8,	     1.8,	   162.9,	     241
20.9,	     121,	   995.7,	    25.9,	    81.3,	     1.8,	   160.9,	     326
21.9,	     127,	   995.1,	    25.8,	    81.7,	     1.9,	   158.9,	     389
22.9,	     132,	   994.5,	    25.8,	    81.6,	     1.9,	   156.9,	     294
23.9,	     138,	   993.9,	    25.7,	    81.6,	     1.9,	   154.9,	     343
24.9,	     143,	   993.3,	    25.7,	    81.9,	     1.9,	   153.0,	     320
25.9,	     149,	   992.8,	    25.6,	    82.2,	     1.9,	   151.1,	     323
26.9,	     153,	   992.2,	    25.6,	    82.2,	     2.0,	   149.2,	     291
27.9,	     157,	   991.7,	    25.5,	    82.2,	     2.0,	   147.4,	     214
28.9,	     160,	   991.1,	    25.5,	    82.4,	     2.0,	   145.5,	     189
29.9,	     166,	   990.5,	    25.4,	    82.9,	     2.0,	   143.7,	     327
30.9,	     172,	   989.9,	    25.4,	    83.4,	     2.0,	   142.0,	     352
31.9,	     177,	   989.3,	    25.3,	    83.8,	     2.0,	   140.2,	     306
32.9,	     184,	   988.7,	    25.3,	    84.1,	     1.9,	   138.4,	     455
33.9,	     191,	   988.1,	    25.2,	    84.4,	     1.9,	   136.6,	     423
34.9,	     195,	   987.5,	    25.1,	    84.2,	     1.9,	   134.8,	     213
35.9,	     199,	   986.9,	    25.1,	    84.1,	     1.9,	   133.1,	     265
36.9,	     205,	   986.3,	    25.1,	    84.1,	     1.9,	   131.4,	     363
37.9,	     211,	   985.7,	    25.0,	    83.4,	     1.9,	   129.7,	     313
38.9,	     217,	   985.1,	    25.1,	    81.9,	     1.9,	   128.1,	     380
39.9,	     222,	   984.5,	    25.3,	    80.4,	     1.8,	   126.5,	     304
40.9,	     227,	   984.0,	    25.3,	    79.9,	     1.8,	   124.9,	     293
41.9,	     230,	   983.4,	    25.2,	    79.9,	     1.8,	   123.4,	     180
42.9,	     235,	   982.8,	    25.2,	    79.4,	     1.8,	   121.8,	     332
43.9,	     241,	   982.3,	    25.2,	    78.1,	     1.7,	   120.3,	     327
44.9,	     246,	   981.7,	    25.3,	    75.4,	     1.7,	   119.0,	     333
45.9,	     252,	   981.1,	    25.5,	    70.9,	     1.7,	   117.8,	     339
46.9,	     257,	   980.6,	    26.0,	    66.9,	     1.7,	   116.6,	     279
47.9,	     261,	   980.0,	    26.3,	    65.0,	     1.6,	   115.5,	     237
48.9,	     267,	   979.4,	    26.5,	    64.4,	     1.6,	   114.5,	     385
