FileFormat,CSV
Year,2022
Month,06
Day,24
Hour,23
Minute,29
Second,03
Pressure,,"units=mb"
Temperature,,"units=deg C"
RH,,"units=%"
Speed,,"units=m/s"
Direction,,"units=deg"
Latitude,24.9976,"units=deg"
Longitude,121.4420,"units=deg"
Altitude,9.7,"units=m"
GpsAltitude,9.7,"units=m"
Ascending,"true"
Comments,""
DataType,""
EquipmentType,"0"
PlatformType,""
PlatformId,""
Project,"PRECIP-2022"
Flight,""
PtuWindTimeDiff,"0"
RadiationCorr,"0"
TrackingType,"19"
SondeId,"no record"
SondeModel,""
Operator,""
LaunchObsSource,"unknown"
LaunchObsTime,"unknown"
SvnRevision,"V3.4.6"
SvnLastChangedDate,"Fri Apr 30 16:17:27 2021 -0600"
Agency,""
AspenVersion,"Aspen V3.4.6"
Flight,""
PlatformId,""
PlatformType,""
ProcessingTime,"22 Nov 2022 21:18 UTC"
Project,"PRECIP-2022"
QCDisclaimer,""
SondeId,"no record"
SoundingDescription,"46692_2022062500.L1.csv "
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,Altitude,GPS Altitude,Dewpoint,Uwnd,Vwnd,Ascent
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,m,deg C,m/s,m/s,m/s
Data,0.0,1008.20,26.60,77.00,0.80,250.00,,,11.0,,22.33,0.75,0.27,
Data,0.9,1007.40,26.80,79.60,0.80,211.30,,,18.0,,23.06,0.42,0.68,
Data,1.9,1006.90,26.80,79.80,0.90,197.90,,,22.0,,23.10,0.28,0.86,
Data,2.9,1006.50,26.80,79.80,1.00,193.40,,,26.0,,23.10,0.23,0.97,
Data,3.9,1005.90,26.70,79.50,1.10,192.10,,,31.0,,22.94,0.23,1.08,
Data,4.9,1005.20,26.80,79.20,1.20,191.20,,,37.0,,22.98,0.23,1.18,
Data,5.9,1004.40,26.70,79.00,1.20,190.10,,,44.0,,22.84,0.21,1.18,
Data,6.9,1003.80,26.60,79.00,1.30,188.60,,,50.0,,22.74,0.19,1.29,
Data,7.9,1003.20,26.50,79.20,1.30,186.90,,,56.0,,22.68,0.16,1.29,
Data,8.9,1002.60,26.40,79.40,1.40,185.20,,,61.0,,22.63,0.13,1.39,
Data,9.9,1002.00,26.40,79.60,1.40,183.30,,,66.0,,22.67,0.08,1.40,
Data,10.9,1001.40,26.30,79.70,1.50,181.40,,,71.0,,22.59,0.04,1.50,
Data,11.9,1000.80,26.30,79.60,1.50,179.40,,,77.0,,22.57,-0.02,1.50,
Data,12.9,1000.20,26.30,79.70,1.60,177.40,,,82.0,,22.59,-0.07,1.60,
Data,13.9,999.70,26.20,79.90,1.60,175.40,,,86.0,,22.53,-0.13,1.59,
Data,14.9,999.10,26.20,80.10,1.60,173.30,,,92.0,,22.57,-0.19,1.59,
Data,15.9,998.50,26.10,80.20,1.70,171.30,,,95.0,,22.50,-0.26,1.68,
Data,16.9,998.00,26.10,80.20,1.70,169.20,,,99.0,,22.50,-0.32,1.67,
Data,17.9,997.40,26.00,80.40,1.70,167.10,,,106.0,,22.44,-0.38,1.66,
Data,18.9,996.90,26.00,80.50,1.80,165.00,,,111.0,,22.46,-0.47,1.74,
Data,19.9,996.30,26.00,80.80,1.80,162.90,,,115.0,,22.52,-0.53,1.72,
Data,20.9,995.70,25.90,81.30,1.80,160.90,,,121.0,,22.52,-0.59,1.70,
Data,21.9,995.10,25.80,81.70,1.90,158.90,,,127.0,,22.50,-0.68,1.77,
Data,22.9,994.50,25.80,81.60,1.90,156.90,,,132.0,,22.48,-0.75,1.75,
Data,23.9,993.90,25.70,81.60,1.90,154.90,,,138.0,,22.39,-0.81,1.72,
Data,24.9,993.30,25.70,81.90,1.90,153.00,,,143.0,,22.44,-0.86,1.69,
Data,25.9,992.80,25.60,82.20,1.90,151.10,,,149.0,,22.41,-0.92,1.66,
Data,26.9,992.20,25.60,82.20,2.00,149.20,,,153.0,,22.41,-1.02,1.72,
Data,27.9,991.70,25.50,82.20,2.00,147.40,,,157.0,,22.31,-1.08,1.68,
Data,28.9,991.10,25.50,82.40,2.00,145.50,,,160.0,,22.35,-1.13,1.65,
Data,29.9,990.50,25.40,82.90,2.00,143.70,,,166.0,,22.35,-1.18,1.61,
Data,30.9,989.90,25.40,83.40,2.00,142.00,,,172.0,,22.44,-1.23,1.58,
Data,31.9,989.30,25.30,83.80,2.00,140.20,,,177.0,,22.42,-1.28,1.54,
Data,32.9,988.70,25.30,84.10,1.90,138.40,,,184.0,,22.48,-1.26,1.42,
Data,33.9,988.10,25.20,84.40,1.90,136.60,,,191.0,,22.44,-1.31,1.38,
Data,34.9,987.50,25.10,84.20,1.90,134.80,,,195.0,,22.30,-1.35,1.34,
Data,35.9,986.90,25.10,84.10,1.90,133.10,,,199.0,,22.28,-1.39,1.30,
Data,36.9,986.30,25.10,84.10,1.90,131.40,,,205.0,,22.28,-1.43,1.26,
Data,37.9,985.70,25.00,83.40,1.90,129.70,,,211.0,,22.05,-1.46,1.21,
Data,38.9,985.10,25.10,81.90,1.90,128.10,,,217.0,,21.86,-1.50,1.17,
Data,39.9,984.50,25.30,80.40,1.80,126.50,,,222.0,,21.76,-1.45,1.07,
Data,40.9,984.00,25.30,79.90,1.80,124.90,,,227.0,,21.66,-1.48,1.03,
Data,41.9,983.40,25.20,79.90,1.80,123.40,,,230.0,,21.56,-1.50,0.99,
Data,42.9,982.80,25.20,79.40,1.80,121.80,,,235.0,,21.46,-1.53,0.95,
Data,43.9,982.30,25.20,78.10,1.70,120.30,,,241.0,,21.19,-1.47,0.86,
Data,44.9,981.70,25.30,75.40,1.70,119.00,,,246.0,,20.73,-1.49,0.82,
Data,45.9,981.10,25.50,70.90,1.70,117.80,,,252.0,,19.94,-1.50,0.79,
Data,46.9,980.60,26.00,66.90,1.70,116.60,,,257.0,,19.50,-1.52,0.76,
Data,47.9,980.00,26.30,65.00,1.60,115.50,,,261.0,,19.34,-1.44,0.69,
Data,48.9,979.40,26.50,64.40,1.60,114.50,,,267.0,,19.38,-1.46,0.66,
Data,49.9,978.80,26.50,64.20,1.60,113.60,,,271.0,,19.33,-1.47,0.64,
Data,50.9,978.30,26.60,63.80,1.60,112.90,,,278.0,,19.33,-1.47,0.62,
Data,51.9,977.70,26.70,63.60,1.50,112.40,,,283.0,,19.37,-1.39,0.57,
Data,52.9,977.10,26.70,63.40,1.50,111.90,,,288.0,,19.32,-1.39,0.56,
Data,53.9,976.60,26.60,63.40,1.50,111.70,,,293.0,,19.23,-1.39,0.55,
Data,54.9,976.10,26.60,63.40,1.40,111.60,,,297.0,,19.23,-1.30,0.52,
Data,55.9,975.50,26.60,63.50,1.40,111.60,,,302.0,,19.25,-1.30,0.52,
Data,56.9,975.00,26.50,63.70,1.40,111.80,,,307.0,,19.21,-1.30,0.52,
Data,57.9,974.50,26.50,63.90,1.30,112.20,,,312.0,,19.26,-1.20,0.49,
Data,58.9,973.90,26.50,64.20,1.30,112.90,,,317.0,,19.33,-1.20,0.51,
Data,59.9,973.40,26.40,64.60,1.20,113.90,,,320.0,,19.33,-1.10,0.49,
Data,60.9,972.80,26.40,64.90,1.20,115.20,,,326.0,,19.41,-1.09,0.51,
Data,61.9,972.30,26.30,65.10,1.20,116.90,,,332.0,,19.36,-1.07,0.54,
Data,62.9,971.70,26.30,65.30,1.10,118.90,,,338.0,,19.41,-0.96,0.53,
Data,63.9,971.20,26.20,65.40,1.10,121.20,,,342.0,,19.34,-0.94,0.57,
Data,64.9,970.60,26.20,65.40,1.10,124.00,,,346.0,,19.34,-0.91,0.62,
Data,65.9,970.10,26.10,65.50,1.00,127.20,,,352.0,,19.27,-0.80,0.60,
Data,66.9,969.60,26.10,65.70,1.00,130.90,,,357.0,,19.31,-0.76,0.65,
Data,67.9,969.00,26.00,65.80,1.00,135.00,,,361.0,,19.24,-0.71,0.71,
Data,68.9,968.50,26.00,66.00,0.90,139.50,,,366.0,,19.29,-0.58,0.68,
Data,69.9,968.00,25.90,66.10,0.90,144.40,,,371.0,,19.22,-0.52,0.73,
Data,70.9,967.50,25.90,66.30,0.90,149.60,,,375.0,,19.27,-0.46,0.78,
Data,71.9,967.00,25.90,66.50,0.90,155.00,,,380.0,,19.31,-0.38,0.82,
Data,72.9,966.50,25.80,66.60,0.90,160.50,,,385.0,,19.24,-0.30,0.85,
Data,73.9,965.90,25.80,66.70,1.00,166.00,,,389.0,,19.27,-0.24,0.97,
Data,74.9,965.40,25.70,66.80,1.00,171.30,,,393.0,,19.19,-0.15,0.99,
Data,75.9,964.90,25.70,67.00,1.00,176.30,,,399.0,,19.24,-0.06,1.00,
Data,76.9,964.40,25.60,67.20,1.10,181.00,,,403.0,,19.19,0.02,1.10,
Data,77.9,963.90,25.60,67.50,1.10,185.30,,,408.0,,19.26,0.10,1.10,
Data,78.9,963.40,25.60,67.70,1.20,189.30,,,414.0,,19.31,0.19,1.18,
Data,79.9,962.80,25.50,67.80,1.20,192.80,,,418.0,,19.24,0.27,1.17,
Data,80.9,962.30,25.50,67.80,1.30,196.10,,,422.0,,19.24,0.36,1.25,
Data,81.9,961.80,25.50,68.00,1.40,199.10,,,427.0,,19.28,0.46,1.32,
Data,82.9,961.30,25.40,68.10,1.50,201.70,,,432.0,,19.21,0.55,1.39,
Data,83.9,960.80,25.40,68.20,1.50,204.10,,,436.0,,19.23,0.61,1.37,
Data,84.9,960.30,25.40,68.40,1.60,206.30,,,441.0,,19.28,0.71,1.43,
Data,85.9,959.70,25.40,68.60,1.70,208.30,,,448.0,,19.33,0.81,1.50,
Data,86.9,959.20,25.30,68.50,1.80,210.20,,,451.0,,19.21,0.91,1.56,
Data,87.9,958.70,25.30,68.40,1.80,211.90,,,454.0,,19.18,0.95,1.53,
Data,88.9,958.10,25.30,68.50,1.90,213.50,,,460.0,,19.21,1.05,1.58,
Data,89.9,957.60,25.30,68.50,2.00,214.90,,,466.0,,19.21,1.14,1.64,
Data,90.9,957.00,25.30,68.60,2.10,216.20,,,471.0,,19.23,1.24,1.69,
Data,91.9,956.40,25.20,68.70,2.20,217.30,,,477.0,,19.16,1.33,1.75,
Data,92.9,955.80,25.20,68.80,2.30,218.30,,,482.0,,19.18,1.43,1.80,
Data,93.9,955.30,25.10,68.80,2.30,219.30,,,488.0,,19.08,1.46,1.78,
Data,94.9,954.70,25.10,68.50,2.40,220.10,,,494.0,,19.02,1.55,1.84,
Data,95.9,954.20,25.20,68.00,2.50,220.90,,,497.0,,19.00,1.64,1.89,
Data,96.9,953.60,25.20,67.70,2.60,221.60,,,502.0,,18.93,1.73,1.94,
Data,97.9,953.10,25.20,67.60,2.70,222.20,,,508.0,,18.90,1.81,2.00,
Data,98.9,952.60,25.20,67.80,2.80,222.80,,,513.0,,18.95,1.90,2.05,
Data,99.9,952.00,25.20,67.90,2.90,223.30,,,516.0,,18.97,1.99,2.11,
Data,100.9,951.50,25.20,68.00,3.00,223.80,,,521.0,,19.00,2.08,2.17,
Data,101.9,950.90,25.10,68.10,3.10,224.20,,,527.0,,18.92,2.16,2.22,
Data,102.9,950.30,25.10,68.10,3.20,224.50,,,534.0,,18.92,2.24,2.28,
Data,103.9,949.70,25.00,68.10,3.40,224.80,,,538.0,,18.83,2.40,2.41,
Data,104.9,949.10,25.00,68.30,3.50,225.10,,,544.0,,18.87,2.48,2.47,
Data,105.9,948.50,24.90,68.50,3.60,225.40,,,549.0,,18.82,2.56,2.53,
Data,106.9,947.90,24.90,68.70,3.70,225.70,,,555.0,,18.87,2.65,2.58,
Data,107.9,947.30,24.80,69.00,3.80,225.90,,,561.0,,18.84,2.73,2.64,
Data,108.9,946.70,24.80,69.10,4.00,226.10,,,567.0,,18.86,2.88,2.77,
Data,109.9,946.10,24.70,69.20,4.10,226.30,,,573.0,,18.79,2.96,2.83,
Data,110.9,945.50,24.60,69.30,4.20,226.50,,,579.0,,18.72,3.05,2.89,
Data,111.9,944.90,24.60,69.50,4.30,226.70,,,584.0,,18.76,3.13,2.95,
Data,112.9,944.30,24.60,69.80,4.50,226.90,,,589.0,,18.83,3.29,3.07,
Data,113.9,943.70,24.50,70.40,4.60,227.00,,,594.0,,18.87,3.36,3.14,
Data,114.9,943.10,24.50,70.90,4.70,227.20,,,601.0,,18.98,3.45,3.19,
Data,115.9,942.50,24.40,71.30,4.90,227.40,,,605.0,,18.97,3.61,3.32,
Data,116.9,941.90,24.30,71.50,5.00,227.60,,,611.0,,18.92,3.69,3.37,
Data,117.9,941.30,24.30,71.40,5.10,227.80,,,617.0,,18.90,3.78,3.43,
Data,118.9,940.70,24.20,71.90,5.20,228.00,,,624.0,,18.91,3.86,3.48,
Data,119.9,940.10,24.20,73.20,5.30,228.20,,,628.0,,19.19,3.95,3.53,
Data,120.9,939.60,24.10,74.60,5.40,228.40,,,632.0,,19.40,4.04,3.59,
Data,121.9,939.00,24.10,75.30,5.60,228.60,,,639.0,,19.54,4.20,3.70,
Data,122.9,938.40,24.00,75.90,5.70,228.90,,,645.0,,19.57,4.30,3.75,
Data,123.9,937.80,24.00,76.80,5.80,229.10,,,650.0,,19.76,4.38,3.80,
Data,124.9,937.30,23.90,77.10,5.90,229.30,,,655.0,,19.72,4.47,3.85,
Data,125.9,936.70,23.90,77.10,6.00,229.50,,,659.0,,19.72,4.56,3.90,
Data,126.9,936.20,23.80,77.10,6.00,229.80,,,665.0,,19.63,4.58,3.87,
Data,127.9,935.60,23.80,77.20,6.10,230.00,,,669.0,,19.65,4.67,3.92,
Data,128.9,935.10,23.70,77.60,6.20,230.20,,,674.0,,19.63,4.76,3.97,
Data,129.9,934.50,23.70,78.10,6.30,230.50,,,680.0,,19.73,4.86,4.01,
Data,130.9,933.90,23.60,78.50,6.40,230.70,,,686.0,,19.72,4.95,4.05,
Data,131.9,933.40,23.50,78.70,6.40,231.00,,,692.0,,19.66,4.97,4.03,
Data,132.9,932.80,23.50,78.70,6.50,231.30,,,698.0,,19.66,5.07,4.06,
Data,133.9,932.20,23.40,78.80,6.50,231.50,,,702.0,,19.58,5.09,4.05,
Data,134.9,931.70,23.40,79.00,6.60,231.80,,,708.0,,19.62,5.19,4.08,
Data,135.9,931.10,23.30,79.20,6.60,232.10,,,713.0,,19.57,5.21,4.05,
Data,136.9,930.50,23.30,79.30,6.70,232.50,,,717.0,,19.59,5.32,4.08,
Data,137.9,930.00,23.30,79.60,6.70,232.80,,,721.0,,19.64,5.34,4.05,
Data,138.9,929.40,23.20,80.00,6.80,233.10,,,726.0,,19.63,5.44,4.08,
Data,139.9,928.80,23.20,80.40,6.80,233.40,,,735.0,,19.71,5.46,4.05,
Data,140.9,928.20,23.10,80.70,6.90,233.80,,,741.0,,19.67,5.57,4.08,
Data,141.9,927.60,23.10,80.60,6.90,234.10,,,746.0,,19.65,5.59,4.05,
Data,142.9,927.00,23.00,80.60,6.90,234.50,,,751.0,,19.55,5.62,4.01,
Data,143.9,926.40,23.00,80.80,7.00,234.80,,,756.0,,19.59,5.72,4.04,
Data,144.9,925.80,22.90,81.10,7.00,235.20,,,762.0,,19.55,5.75,3.99,
Data,145.9,925.30,22.80,81.30,7.10,235.50,,,768.0,,19.49,5.85,4.02,
Data,146.9,924.70,22.80,81.60,7.10,235.90,,,774.0,,19.55,5.88,3.98,
Data,147.9,924.10,22.70,82.00,7.10,236.20,,,778.0,,19.53,5.90,3.95,
Data,148.9,923.50,22.70,82.50,7.20,236.50,,,783.0,,19.62,6.00,3.97,
Data,149.9,923.00,22.70,83.00,7.20,236.80,,,790.0,,19.72,6.02,3.94,
Data,150.9,922.40,22.60,83.10,7.30,237.10,,,795.0,,19.64,6.13,3.97,
Data,151.9,921.80,22.60,83.40,7.40,237.30,,,801.0,,19.70,6.23,4.00,
Data,152.9,921.20,22.60,83.70,7.40,237.50,,,806.0,,19.76,6.24,3.98,
Data,153.9,920.70,22.50,83.80,7.50,237.80,,,810.0,,19.68,6.35,4.00,
Data,154.9,920.10,22.40,84.20,7.50,238.00,,,816.0,,19.65,6.36,3.97,
Data,155.9,919.50,22.40,84.60,7.60,238.20,,,821.0,,19.73,6.46,4.00,
Data,156.9,918.90,22.30,85.00,7.70,238.30,,,827.0,,19.70,6.55,4.05,
Data,157.9,918.40,22.30,85.30,7.70,238.40,,,833.0,,19.76,6.56,4.03,
Data,158.9,917.70,22.20,85.40,7.80,238.50,,,838.0,,19.68,6.65,4.08,
Data,159.9,917.10,22.20,85.60,7.90,238.60,,,844.0,,19.72,6.74,4.12,
Data,160.9,916.50,22.10,86.10,7.90,238.70,,,850.0,,19.71,6.75,4.10,
Data,161.9,915.90,22.10,86.60,8.00,238.70,,,857.0,,19.80,6.84,4.16,
Data,162.9,915.20,22.10,87.00,8.10,238.70,,,862.0,,19.88,6.92,4.21,
Data,163.9,914.60,22.10,87.10,8.10,238.70,,,869.0,,19.89,6.92,4.21,
Data,164.9,914.00,22.00,87.10,8.20,238.70,,,875.0,,19.80,7.01,4.26,
